,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
AKR1C3,5.21E-251,1.637445813,0.764,0.264,1.35E-246
HLA-DRB5,5.39E-177,1.337095747,0.945,0.688,1.40E-172
LIMS2,4.78E-100,1.30433194,0.268,0.073,1.24E-95
FABP4,1.99E-240,1.273971572,0.994,0.603,5.17E-236
JAKMIP2,5.97E-128,1.250631637,0.396,0.119,1.55E-123
AKR1C2,1.62E-82,1.23312974,0.267,0.081,4.22E-78
CES1,2.58E-188,1.206523822,0.88,0.445,6.70E-184
GPD1,1.17E-212,1.191769992,0.842,0.332,3.02E-208
IGFBP2,4.30E-138,1.176438258,0.684,0.304,1.12E-133
SERPING1,6.54E-234,1.161523359,0.995,0.657,1.70E-229
PCOLCE2,1.25E-195,1.155541899,0.865,0.381,3.24E-191
MLPH,5.05E-175,1.154156771,0.67,0.235,1.31E-170
CPE,7.28E-167,1.132704407,0.622,0.21,1.89E-162
MARCO,4.54E-285,1.125791258,0.998,0.801,1.18E-280
HCAR2,4.22E-180,1.115686526,0.802,0.335,1.10E-175
PDLIM1,2.31E-223,1.101445933,0.991,0.573,6.00E-219
ACOT2,1.12E-116,1.100432194,0.395,0.123,2.92E-112
LDHD,1.23E-121,1.098829026,0.359,0.101,3.19E-117
MGAT3,9.14E-109,1.09363119,0.34,0.099,2.37E-104
SLC19A3,8.89E-112,1.091870195,0.395,0.126,2.31E-107
ATL1,3.41E-119,1.089580016,0.394,0.119,8.85E-115
FAM3B,5.37E-77,1.058170361,0.321,0.114,1.39E-72
MME,4.58E-173,1.044946508,0.765,0.295,1.19E-168
TMEM74B,9.51E-104,1.040045591,0.367,0.116,2.47E-99
PLBD1,6.12E-208,1.040031173,0.992,0.661,1.59E-203
OASL,1.45E-166,1.031934407,0.839,0.376,3.77E-162
ACOT4,2.10E-139,1.024904978,0.578,0.203,5.44E-135
C1GALT1C1,3.58E-121,1.022407762,0.46,0.153,9.29E-117
HLA-DQA1,3.60E-148,1.014697769,0.999,0.938,9.34E-144
AQP3,4.39E-171,1.011709388,0.941,0.475,1.14E-166
FBP1,2.12E-224,1.010706623,0.998,0.819,5.49E-220
PTCRA,8.86E-112,1.008631375,0.454,0.155,2.30E-107
LSAMP,4.34E-107,1.008272839,0.429,0.145,1.13E-102
PPIC,5.21E-170,1.001716799,0.846,0.373,1.35E-165
TREM1,5.15E-224,0.992123548,0.996,0.734,1.34E-219
MDH1,1.84E-174,0.991832539,0.97,0.588,4.77E-170
SLC27A3,2.81E-160,0.991073659,0.819,0.349,7.28E-156
LGALS3BP,2.29E-181,0.984654193,0.975,0.653,5.93E-177
HPGD,1.52E-159,0.980616289,0.806,0.332,3.93E-155
PTRH2,5.56E-103,0.96362356,0.314,0.091,1.44E-98
CYP27A1,4.72E-186,0.962768588,0.997,0.662,1.22E-181
CD5L,3.10E-77,0.958581716,0.311,0.106,8.05E-73
ABCG2,4.46E-93,0.951323368,0.363,0.122,1.16E-88
ALDH2,3.09E-233,0.948591397,0.998,0.841,8.02E-229
EDEM2,7.01E-145,0.939621302,0.805,0.352,1.82E-140
ICAM2,4.93E-142,0.937731659,0.723,0.292,1.28E-137
SIGLEC12,3.57E-97,0.93085313,0.341,0.108,9.25E-93
TAPBPL,1.72E-142,0.925242301,0.667,0.25,4.46E-138
S1PR4,7.52E-142,0.922991341,0.828,0.367,1.95E-137
DCSTAMP,1.37E-102,0.921126901,0.389,0.127,3.54E-98
DECR1,4.73E-174,0.920893914,0.986,0.619,1.23E-169
MGST3,3.50E-226,0.920125048,0.998,0.847,9.07E-222
TUBB2A,5.10E-121,0.918462332,0.518,0.184,1.32E-116
GLDN,5.23E-118,0.914887468,0.686,0.291,1.36E-113
BCAR1,1.45E-73,0.912056895,0.286,0.095,3.75E-69
ADTRP,2.86E-143,0.908469532,0.695,0.273,7.41E-139
BTD,4.00E-73,0.906332724,0.303,0.104,1.04E-68
TCEA3,2.13E-94,0.895759114,0.419,0.15,5.53E-90
CAMP,1.03E-103,0.895302826,0.438,0.156,2.66E-99
DYX1C1,6.13E-118,0.889339563,0.515,0.181,1.59E-113
RYR1,8.25E-72,0.885479307,0.29,0.098,2.14E-67
HPGDS,2.95E-152,0.885415744,0.717,0.28,7.65E-148
FHL1,5.45E-159,0.878407958,0.842,0.349,1.41E-154
