Cell-cell communication signalings in tumor conditions,,,,,,,,,,,
,source,target,ligand,receptor,prob,pval,interaction_name,interaction_name_2,pathway_name,annotation,evidence
1,DC,Profi_TAM,TGFB1,TGFbR1_R2,0.000989696,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
2,Endothelial cells,Profi_TAM,TGFB1,TGFbR1_R2,0.001003935,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
3,Fibroblasts,Profi_TAM,TGFB1,TGFbR1_R2,0.000224582,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
4,Monocytes,Profi_TAM,TGFB1,TGFbR1_R2,0.001289975,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
5,NK cells,Profi_TAM,TGFB1,TGFbR1_R2,0.001624325,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
6,Profi_TAM,Profi_TAM,TGFB1,TGFbR1_R2,0.000724018,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
7,Proli_TRM,Profi_TAM,TGFB1,TGFbR1_R2,0.001729648,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
8,TAM,Profi_TAM,TGFB1,TGFbR1_R2,0.000946432,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
9,TRAM,Profi_TAM,TGFB1,TGFbR1_R2,0.001303437,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
10,Unknown,Profi_TAM,TGFB1,TGFbR1_R2,0.002410212,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
11,DC,Proli_TRM,TGFB1,TGFbR1_R2,0.000620529,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
12,Endothelial cells,Proli_TRM,TGFB1,TGFbR1_R2,0.00062946,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
13,Fibroblasts,Proli_TRM,TGFB1,TGFbR1_R2,0.000140796,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
14,Monocytes,Proli_TRM,TGFB1,TGFbR1_R2,0.000808869,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
15,NK cells,Proli_TRM,TGFB1,TGFbR1_R2,0.001018666,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
16,Profi_TAM,Proli_TRM,TGFB1,TGFbR1_R2,0.000453909,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
17,Proli_TRM,Proli_TRM,TGFB1,TGFbR1_R2,0.001084775,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
18,TAM,Proli_TRM,TGFB1,TGFbR1_R2,0.000593394,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
19,TRAM,Proli_TRM,TGFB1,TGFbR1_R2,0.000817407,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
20,Unknown,Proli_TRM,TGFB1,TGFbR1_R2,0.001511945,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
21,Fibroblasts,Profi_TAM,TGFB3,TGFbR1_R2,0.000226885,0,TGFB3_TGFBR1_TGFBR2,TGFB3 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
22,Fibroblasts,Proli_TRM,TGFB3,TGFbR1_R2,0.00014224,0,TGFB3_TGFBR1_TGFBR2,TGFB3 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
23,Epithelial cells,Endothelial cells,GDF15,TGFBR2,0.024212803,0,GDF15_TGFBR2,GDF15 - TGFBR2,GDF,Secreted Signaling,KEGG: hsa04350
24,Epithelial cells,Epithelial cells,GDF15,TGFBR2,0.002497499,0,GDF15_TGFBR2,GDF15 - TGFBR2,GDF,Secreted Signaling,KEGG: hsa04350
