correlation,p_value,method,sample,,
0.035220074,0.438527665,Same-spot Spearman correlation,spacet_T2,,
0.215802097,9.11E-07,Same-spot Spearman correlation,spacet_T4,,
0.131969203,0.006314845,Same-spot Spearman correlation,spacet_T7,,
0.264655113,7.53E-17,Same-spot Spearman correlation,spacet_T8,,
-0.033241226,0.581018731,Same-spot Spearman correlation,spacet_T9,,
0.078166671,0.034849075,Same-spot Spearman correlation,spacet_T10,,
0.139289268,9.02E-05,Same-spot Spearman correlation,spacet_T11,,
0.194721402,1.39E-06,Same-spot Spearman correlation,spacet_T13,,
0.236658861,1.52E-09,Same-spot Spearman correlation,spacet_T14,,
0.086967961,0.043961988,Same-spot Spearman correlation,spacet_T15,,
0.069105108,0.01888449,Same-spot Spearman correlation,spacet_T16,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
