List of Differential Expressed Genes,,,,,,,
,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
FABP4,0,3.188640149,0.922,0.256,0,TRAM,FABP4
PDLIM1,0,2.394592474,0.865,0.262,0,TRAM,PDLIM1
INHBA,0,2.441203695,0.774,0.181,0,TRAM,INHBA
PHLDA3,0,2.435773899,0.739,0.171,0,TRAM,PHLDA3
GPD1,0,3.834251097,0.606,0.054,0,TRAM,GPD1
MCEMP1,0,2.088323597,0.951,0.401,0,TRAM,MCEMP1
RP11-598F7.3,0,2.242893272,0.752,0.212,0,TRAM,RP11-598F7.3
GPR183,0,-5.705519413,0.061,0.569,0,TRAM,GPR183
CES1,0,2.697554883,0.694,0.19,0,TRAM,CES1
SVIL,0,2.027444243,0.676,0.172,0,TRAM,SVIL
MARCKS,0,-3.953328911,0.128,0.631,0,TRAM,MARCKS
PCOLCE2,0,2.4021825,0.624,0.137,0,TRAM,PCOLCE2
AQP3,0,1.984786568,0.717,0.231,0,TRAM,AQP3
LPL,0,1.70720797,0.714,0.231,0,TRAM,LPL
PLA2G16,0,1.691579438,0.836,0.353,0,TRAM,PLA2G16
FHL1,0,2.528068737,0.591,0.109,0,TRAM,FHL1
TMEM176B,0,-3.182729786,0.175,0.647,0,TRAM,TMEM176B
TNNI2,0,2.048376859,0.674,0.207,0,TRAM,TNNI2
RETN,0,1.150279781,0.766,0.304,0,TRAM,RETN
RP5-839B4.8,0,1.934696658,0.634,0.174,0,TRAM,RP5-839B4.8
TCF7L2,0,1.649020561,0.7,0.24,0,TRAM,TCF7L2
MME,0,3.271214978,0.525,0.066,0,TRAM,MME
S100A13,0,1.63536926,0.824,0.372,0,TRAM,S100A13
IER3,0,-4.082700162,0.265,0.716,0,TRAM,IER3
HPGD,0,2.437532314,0.558,0.108,0,TRAM,HPGD
PPARG,0,1.605305378,0.748,0.3,0,TRAM,PPARG
ACOT7,0,1.851037202,0.676,0.229,0,TRAM,ACOT7
PPIC,0,1.955118885,0.595,0.155,0,TRAM,PPIC
SPN,0,1.451972222,0.768,0.335,0,TRAM,SPN
ZFP36L1,0,-3.407661653,0.291,0.722,0,TRAM,ZFP36L1
FAM89A,0,2.506703913,0.546,0.116,0,TRAM,FAM89A
Sep-11,0,1.444574359,0.742,0.314,0,TRAM,Sep-11
RND3,0,2.658699732,0.533,0.106,0,TRAM,RND3
PNPLA6,0,1.44751012,0.831,0.41,0,TRAM,PNPLA6
CYP27A1,0,1.317315841,0.867,0.449,0,TRAM,CYP27A1
TMEM176A,0,-3.037849824,0.128,0.545,0,TRAM,TMEM176A
RHBDD2,0,1.486252246,0.791,0.385,0,TRAM,RHBDD2
ARL4C,0,-4.33064389,0.076,0.479,0,TRAM,ARL4C
RGS1,0,-3.883357011,0.251,0.65,0,TRAM,RGS1
HDDC2,0,1.255713328,0.759,0.363,0,TRAM,HDDC2
FCGR2B,0,-4.821080817,0.036,0.428,0,TRAM,FCGR2B
OASL,0,1.558823137,0.575,0.185,0,TRAM,OASL
ABHD5,0,1.308659842,0.664,0.283,0,TRAM,ABHD5
GLDN,0,2.261653924,0.482,0.101,0,TRAM,GLDN
TGM2,0,1.451637392,0.686,0.308,0,TRAM,TGM2
FFAR4,0,1.632669514,0.544,0.17,0,TRAM,FFAR4
RMDN3,0,1.115819528,0.754,0.382,0,TRAM,RMDN3
EVL,0,1.267134553,0.828,0.456,0,TRAM,EVL
CORO1A,0,-3.039343219,0.147,0.515,0,TRAM,CORO1A
VMO1,0,0.913638814,0.654,0.287,0,TRAM,VMO1
CRIP1,0,1.365535527,0.895,0.528,0,TRAM,CRIP1
HCAR2,0,1.602066036,0.521,0.16,0,TRAM,HCAR2
SCD,0,1.109957291,0.763,0.402,0,TRAM,SCD
IGFBP2,0,2.413455243,0.485,0.126,0,TRAM,IGFBP2
FGL2,0,-3.668789767,0.097,0.455,0,TRAM,FGL2
SERPING1,0,1.716206779,0.835,0.477,0,TRAM,SERPING1
ATP1B1,0,1.018365935,0.734,0.377,0,TRAM,ATP1B1
PTPMT1,0,1.25316798,0.71,0.353,0,TRAM,PTPMT1
TREM1,0,1.33255466,0.908,0.551,0,TRAM,TREM1
AKR1C3,0,2.541483657,0.449,0.093,0,TRAM,AKR1C3
FDFT1,0,1.49139301,0.57,0.215,0,TRAM,FDFT1
FOLR3,0,1.050636697,0.514,0.159,0,TRAM,FOLR3
ACO1,0,1.739943417,0.506,0.153,0,TRAM,ACO1
AGRP,0,1.442086067,0.51,0.161,0,TRAM,AGRP
CLDN7,0,1.466527806,0.523,0.176,0,TRAM,CLDN7
USP30-AS1,0,1.954491444,0.474,0.128,0,TRAM,USP30-AS1
A2M,0,-3.653765042,0.132,0.475,0,TRAM,A2M
TBC1D10C,0,1.376019285,0.527,0.185,0,TRAM,TBC1D10C
AMIGO2,0,1.609571854,0.494,0.152,0,TRAM,AMIGO2
MARCO,0,1.338631363,0.965,0.623,0,TRAM,MARCO
BHLHE41,0,1.398669344,0.589,0.248,0,TRAM,BHLHE41
LTA4H,0,1.228945312,0.932,0.592,0,TRAM,LTA4H
MLPH,0,2.606370104,0.41,0.07,0,TRAM,MLPH
ADTRP,0,2.212111349,0.447,0.108,0,TRAM,ADTRP
DECR1,0,1.148290814,0.79,0.452,0,TRAM,DECR1
MACC1,0,2.085471099,0.445,0.107,0,TRAM,MACC1
BASP1,0,-4.225544539,0.041,0.377,0,TRAM,BASP1
CCL2,0,-5.205850964,0.076,0.41,0,TRAM,CCL2
GYPC,0,0.890445923,0.885,0.551,0,TRAM,GYPC
CCND3,0,1.059690729,0.639,0.306,0,TRAM,CCND3
