Proportion of cell types between patient samples of scRNA-seq data (GSE131907),,,,
,sample,celltype,count,proportion
1,BRONCHO_58,B cells,162,5.899490168
2,BRONCHO_58,T cells,1297,47.23233795
3,BRONCHO_58,Macrophages,309,11.25273125
4,BRONCHO_58,Monocytes,100,3.641660597
5,BRONCHO_58,DC,36,1.310997815
6,BRONCHO_58,Epithelial cells,438,15.95047342
7,BRONCHO_58,Endothelial cells,13,0.473415878
8,BRONCHO_58,Fibroblasts,85,3.095411508
9,BRONCHO_58,MAST cells,56,2.039329934
10,BRONCHO_58,NK cells,248,9.031318281
11,BRONCHO_58,Erythroblast,2,0.072833212
12,EBUS_06,B cells,110,4.946043165
13,EBUS_06,T cells,411,18.48021583
14,EBUS_06,Macrophages,161,7.239208633
15,EBUS_06,Monocytes,208,9.352517986
16,EBUS_06,DC,2,0.089928058
17,EBUS_06,Epithelial cells,1122,50.44964029
18,EBUS_06,Endothelial cells,2,0.089928058
19,EBUS_06,Fibroblasts,3,0.134892086
20,EBUS_06,MAST cells,1,0.044964029
21,EBUS_06,NK cells,204,9.172661871
22,EBUS_28,B cells,5,0.101010101
23,EBUS_28,T cells,182,3.676767677
24,EBUS_28,Macrophages,72,1.454545455
25,EBUS_28,Monocytes,21,0.424242424
26,EBUS_28,DC,28,0.565656566
27,EBUS_28,Epithelial cells,4537,91.65656566
28,EBUS_28,Endothelial cells,5,0.101010101
29,EBUS_28,Fibroblasts,10,0.202020202
30,EBUS_28,MAST cells,37,0.747474747
31,EBUS_28,NK cells,51,1.03030303
32,EBUS_28,Erythroblast,2,0.04040404
33,EBUS_49,B cells,186,10.57418988
34,EBUS_49,T cells,447,25.412166
35,EBUS_49,Macrophages,50,2.842524161
36,EBUS_49,Monocytes,211,11.99545196
37,EBUS_49,DC,5,0.284252416
38,EBUS_49,Epithelial cells,96,5.45764639
39,EBUS_49,Endothelial cells,1,0.056850483
40,EBUS_49,Fibroblasts,1,0.056850483
41,EBUS_49,MAST cells,3,0.17055145
42,EBUS_49,NK cells,700,39.79533826
43,EBUS_49,Erythroblast,59,3.354178511
